"approve","loanamt","term","caution","atotinc","cototinc","hrat","obrat","sex","university","race","married","dep","exper","self","score","delinq","mortperf","mortlat1","mortlat2"
1,89,360,0,5849,0,17.6299991607666,34.5,NA,1,"White",0,0,0,0,1,1,1,0,0
0,128,360,0,4583,1508,22.5400009155273,34.0999984741211,"Male",1,"White",1,1,0,0,3,1,1,0,0
1,128,180,0,2666,4416,19,26,"Male",1,"White",0,0,1,0,6,1,1,0,0
1,66,360,0,3000,0,24,37,"Male",1,"White",1,0,0,1,1,0,1,0,0
1,120,360,0,2583,2358,25.1000003814697,32.0999984741211,"Male",0,"White",1,0,0,0,1,1,1,0,0
1,111,360,0,2208,2959,21,33,"Male",0,"White",0,0,0,0,2,0,1,0,0
1,141,360,0,6000,0,32,36,"Male",1,"White",0,0,0,0,1,1,1,0,0
1,276,360,0,7500,0,36,37,"Male",1,"White",0,0,0,0,1,1,1,0,0
1,100,360,0,3234,2524,19.3099994659424,30.7000007629395,"Male",1,"White",1,1,1,0,1,1,1,0,0
1,267,360,0,5417,4196,26.5100002288818,49,"Male",1,"White",1,2,0,1,3,1,0,0,0
1,175,180,0,6292,1758,26,37,"Male",1,"White",1,0,0,0,4,1,0,0,0
1,95,360,0,2333,1516,26.1000003814697,37.0999984741211,"Male",0,"White",1,0,0,0,1,0,1,0,0
0,158,360,0,3036,2504,29,42,"Male",1,"White",1,4,0,0,1,0,1,0,0
1,110,360,0,5720,0,24,32,"Male",1,"White",1,0,0,0,2,1,0,0,0
1,40,360,0,3103,307,16,16,"Male",0,"White",1,0,0,0,1,1,0,0,0
1,70,360,0,2800,0,24.5,37.0999984741211,"Male",1,"Black",1,1,1,1,1,1,1,0,0
1,168,360,0,4006,1526,31.2999992370605,32.2000007629395,"Male",1,"White",1,2,0,0,2,1,1,0,0
1,114,360,0,5438,2656,20,26,"Male",1,"White",1,1,0,0,1,1,0,0,0
1,349,360,0,12841,10968,21,27,"Male",1,"White",1,1,0,0,2,1,0,0,0
1,185,360,0,5600,2500,24.7999992370605,37.2000007629395,"Male",0,"White",1,0,0,0,0,1,1,0,0
1,126,360,0,3076,1500,28.8999996185303,36,"Male",1,"White",1,1,0,0,1,1,1,0,0
1,100,360,0,7589,0,14,16,"Female",1,"White",1,0,0,1,1,1,0,1,0
1,70,360,0,3200,700,20,36,"Male",1,"White",1,2,0,0,1,1,0,0,0
1,125,360,0,3000,2000,25.0599994659424,29.2000007629395,"Male",0,"White",1,0,0,1,1,1,0,0,0
1,130,360,0,11283,0,12,18,"Male",1,"White",0,0,0,0,1,1,1,0,0
1,109,360,0,2500,1840,27.5,27.8999996185303,"Male",1,"White",1,2,0,0,1,1,1,0,0
1,200,360,0,3073,8106,18,34,"Male",1,"Black",1,2,0,0,3,0,0,0,0
0,114,360,0,1853,2840,25.5599994659424,38.4000015258789,"Male",1,"White",0,0,1,0,4,1,1,0,0
1,17,120,0,1299,1086,14,14,"Male",1,"White",1,2,0,0,1,1,1,0,0
1,208,360,0,5000,1800,26.2000007629395,34.7999992370605,"Male",1,"Hispan",1,2,1,0,2,1,0,0,0
1,125,360,0,4950,0,27.1000003814697,28.7000007629395,"Male",1,"White",0,0,0,0,0,1,0,0,0
1,187,360,0,13000,1733,17.8999996185303,40.4000015258789,"Male",1,"White",1,0,1,1,2,1,0,0,0
1,100,240,0,3596,0,71,73,"Male",0,"White",0,1,0,0,1,1,0,0,0
1,100,360,0,2340,2546,20.7999992370605,27.8999996185303,"Male",1,"White",1,2,0,0,1,1,1,0,0
0,76,360,0,3510,0,22.2999992370605,38.2000007629395,"Female",1,"Black",0,0,0,0,0,0,1,0,0
1,121,360,0,4706,0,27,27,"Female",1,"Black",0,0,0,0,1,1,1,0,0
0,133,360,0,4887,0,26,35,"Male",0,"White",1,0,0,0,1,1,1,0,0
1,140,360,0,5233,0,26,33,"Female",1,"White",0,0,0,0,1,1,1,0,0
1,70,360,0,2567,0,30,35,"Male",1,"White",0,0,0,0,1,1,1,0,0
1,115,999999.375,0,2600,3500,20.1800003051758,32.0999984741211,"Male",1,"White",1,0,0,0,3,1,1,0,0
1,252,180,0,5167,3650,31,35,"Male",1,"White",1,1,0,1,4,1,0,0,0
0,104,360,1,7660,0,14,16,"Male",0,"White",1,0,6,0,1,0,1,0,0
1,100,360,0,3328,1083,29,30,"Male",1,"White",1,0,0,0,1,1,0,0,0
1,100,60,0,6333,4755,17.2199993133545,27.5,"Female",1,"White",1,0,0,0,0,0,1,0,0
1,315,360,0,5955,5625,26.7000007629395,32.4000015258789,"Male",1,"White",1,1,0,0,1,1,0,0,0
0,116,360,0,2600,1911,27,34,"Male",0,"Black",1,0,0,0,2,1,1,0,0
1,632,360,0,24166,5100,18.9099998474121,26.7000007629395,"Male",1,"White",1,0,0,0,1,1,0,0,0
1,112,360,0,5000,0,22,31,"Male",1,"White",0,0,0,1,1,1,1,0,0
0,112,360,0,3365,1917,23,30,"Male",0,"Hispan",1,2,0,0,1,0,0,1,0
1,78,360,0,3276,0,27.7000007629395,38.2000007629395,"Male",0,"Black",0,0,0,0,0,0,1,0,0
1,151,360,0,3717,2925,23,35,"Male",1,"Black",1,1,0,0,1,0,1,0,0
1,115,360,0,3900,840,26,34,"Male",0,"White",1,0,0,1,2,1,0,0,0
1,152,360,0,2165,3422,27,38,"Male",0,"White",1,0,0,1,1,1,1,0,0
1,59,360,0,2226,0,35,38,"Female",0,"Hispan",0,1,0,0,1,1,1,0,0
0,147,360,0,3881,0,34,34,"Male",0,"White",1,2,0,0,2,0,1,0,0
1,80,360,0,3685,0,25,25,"Male",1,"Hispan",0,0,0,0,0,1,1,0,0
1,130,360,0,2824,1750,28,34,"Male",1,"White",1,0,0,0,1,1,1,0,0
1,280,240,0,13633,0,22,24,"Male",1,"White",1,2,0,0,1,1,0,0,0
